LGA,trainProportion,EV_PROPORTION
MORNINGTON PENINSULA SHIRE,0.03039013123097328,0.0131
MANNINGHAM CITY,0.03181814090034984,0.0178
FRANKSTON CITY,0.06918839611305987,0.0101
YARRA RANGES SHIRE,0.08432493635534594,0.0096
MELTON CITY,0.08531706803666575,0.0121
PORT PHILLIP CITY,0.08759171671410333,0.0199
WHITTLESEA CITY,0.09420344878706688,0.0165
NILLUMBIK SHIRE,0.09677248049181247,0.0132
CASEY CITY,0.09945111116147472,0.0142
BOROONDARA CITY,0.10456542832015668,0.024
CARDINIA SHIRE,0.10611507963861208,0.0085
BANYULE CITY,0.11510690019026185,0.0164
HUME CITY,0.11770053775951014,0.0117
YARRA CITY,0.1200059110072926,0.0241
BRIMBANK CITY,0.1212865856827244,0.0138
MOONEE VALLEY CITY,0.1220455336794125,0.0164
MERRI-BEK CITY,0.12570434543798467,0.0172
GREATER GEELONG CITY,0.1275605815294812,0.0108
KNOX CITY,0.12907321052087006,0.0144
HOBSONS BAY CITY,0.13204678027558645,0.0145
MAROONDAH CITY,0.13229514095614256,0.0163
DAREBIN CITY,0.1440079846011264,0.0198
BAYSIDE CITY,0.1449858881961946,0.0209
GREATER DANDENONG CITY,0.1477614198368148,0.0169
WYNDHAM CITY,0.15778174288727698,0.0151
KINGSTON CITY,0.1619683062567231,0.0155
MONASH CITY,0.1645060741846655,0.0211
WHITEHORSE CITY,0.16672048892360147,0.0205
MARIBYRNONG CITY,0.17021103820050656,0.0178
MELBOURNE CITY,0.17719966656977654,0.0255
GLEN EIRA CITY,0.18534715267388177,0.0211
STONNINGTON CITY,0.2033884040975408,0.0249
